y,x,d,t
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
